DATE,PCE
2010-01-01,10056.1
2010-02-01,10093.4
2010-03-01,10156.0
2010-04-01,10182.3
2010-05-01,10210.8
2010-06-01,10231.3
2010-07-01,10268.1
2010-08-01,10307.1
2010-09-01,10327.1
2010-10-01,10386.4
2010-11-01,10433.6
2010-12-01,10471.0
2011-01-01,10514.3
2011-02-01,10540.6
2011-03-01,10619.7
2011-04-01,10652.1
2011-05-01,10672.2
2011-06-01,10694.8
2011-07-01,10731.6
2011-08-01,10750.3
2011-09-01,10783.2
2011-10-01,10802.9
2011-11-01,10806.8
2011-12-01,10817.8
2012-01-01,10896.8
2012-02-01,10987.2
2012-03-01,10993.9
2012-04-01,11018.5
2012-05-01,11006.8
2012-06-01,10989.8
2012-07-01,11016.8
2012-08-01,11056.0
2012-09-01,11105.3
2012-10-01,11137.4
2012-11-01,11178.4
2012-12-01,11181.2
2013-01-01,11252.4
2013-02-01,11290.5
2013-03-01,11290.1
2013-04-01,11281.1
2013-05-01,11321.6
2013-06-01,11344.4
2013-07-01,11372.6
2013-08-01,11406.6
2013-09-01,11445.9
2013-10-01,11498.0
2013-11-01,11562.5
2013-12-01,11593.2
2014-01-01,11578.8
2014-02-01,11636.9
2014-03-01,11722.3
2014-04-01,11762.3
2014-05-01,11807.3
2014-06-01,11861.7
2014-07-01,11904.4
2014-08-01,11983.7
2014-09-01,11991.4
2014-10-01,12064.7
2014-11-01,12083.9
2014-12-01,12096.1
2015-01-01,12066.7
2015-02-01,12116.6
2015-03-01,12176.1
2015-04-01,12209.1
2015-05-01,12275.4
2015-06-01,12307.9
2015-07-01,12364.9
2015-08-01,12396.2
2015-09-01,12386.4
2015-10-01,12394.9
2015-11-01,12423.2
2015-12-01,12452.0
2016-01-01,12478.0
2016-02-01,12554.5
2016-03-01,12537.0
2016-04-01,12611.5
2016-05-01,12652.7
2016-06-01,12731.2
2016-07-01,12756.7
2016-08-01,12788.1
2016-09-01,12846.6
2016-10-01,12867.0
2016-11-01,12893.0
2016-12-01,13005.9
2017-01-01,13063.7
2017-02-01,13088.4
2017-03-01,13139.9
2017-04-01,13169.2
2017-05-01,13171.9
2017-06-01,13225.2
2017-07-01,13263.3
2017-08-01,13294.6
2017-09-01,13417.3
2017-10-01,13447.5
2017-11-01,13540.6
2017-12-01,13666.1
2018-01-01,13703.3
2018-02-01,13738.7
2018-03-01,13793.2
2018-04-01,13838.4
2018-05-01,13905.0
2018-06-01,13930.4
2018-07-01,13974.8
2018-08-01,14014.0
2018-09-01,14017.8
2018-10-01,14083.1
2018-11-01,14162.9
2018-12-01,14051.6
2019-01-01,14084.6
2019-02-01,14117.4
2019-03-01,14248.6
2019-04-01,14290.0
2019-05-01,14353.3
2019-06-01,14408.7
2019-07-01,14496.0
2019-08-01,14558.2
2019-09-01,14590.6
2019-10-01,14617.4
2019-11-01,14711.0
2019-12-01,14774.8
2020-01-01,14868.3
2020-02-01,14828.1
2020-03-01,13812.8
2020-04-01,12249.2
2020-05-01,13281.5
2020-06-01,14049.2
2020-07-01,14307.2
2020-08-01,14462.2
2020-09-01,14668.1
2020-10-01,14725.8
2020-11-01,14701.6
2020-12-01,14822.0
2021-01-01,15073.0
2021-02-01,14983.5
2021-03-01,15709.7
2021-04-01,15917.5
2021-05-01,15973.5
2021-06-01,16191.7
2021-07-01,16239.7
2021-08-01,16412.9
2021-09-01,16489.6
2021-10-01,16704.2
2021-11-01,16849.8
2021-12-01,16891.0
2022-01-01,16993.8
2022-02-01,17106.0
2022-03-01,17347.2
2022-04-01,17490.0
2022-05-01,17574.5
2022-06-01,17755.2
2022-07-01,17770.1
2022-08-01,17916.5
2022-09-01,17992.8
2022-10-01,18109.6
2022-11-01,18108.0
2022-12-01,18116.5
2023-01-01,18449.1
2023-02-01,18491.6
2023-03-01,18520.4
2023-04-01,18641.8
2023-05-01,18664.6
2023-06-01,18773.0
2023-07-01,18884.2
2023-08-01,18953.3
2023-09-01,19048.1
2023-10-01,19109.4
2023-11-01,19178.9
2023-12-01,19283.5
2024-01-01,19303.3
2024-02-01,19446.5
2024-03-01,19581.8
2024-04-01,19665.7
2024-05-01,19758.0
2024-06-01,19844.5
2024-07-01,19949.5
2024-08-01,20001.3
2024-09-01,20147.6
2024-10-01,20226.0
2024-11-01,20313.6
2024-12-01,20514.3
